﻿일,유종,WTI
01월 02일,,46.34
01월 05일,,48.81
01월 06일,,48.58
01월 07일,,42.63
01월 08일,,41.70
01월 09일,,40.83
01월 12일,,37.59
01월 13일,,37.78
01월 14일,,37.28
01월 15일,,35.40
01월 16일,,36.51
01월 20일,,38.74
01월 21일,,43.55
01월 22일,,43.67
01월 23일,,46.47
01월 26일,,45.73
01월 27일,,41.58
01월 28일,,42.16
01월 29일,,41.44
01월 30일,,41.68
02월 02일,,40.08
02월 03일,,40.78
02월 04일,,40.32
02월 05일,,41.17
02월 06일,,40.17
02월 09일,,39.56
02월 10일,,37.55
02월 11일,,35.94
02월 12일,,33.98
02월 13일,,37.51
02월 17일,,34.93
02월 18일,,34.62
02월 19일,,39.48
02월 20일,,38.94
02월 23일,,38.44
02월 24일,,39.96
02월 25일,,42.50
02월 26일,,45.22
02월 27일,,44.76
03월 02일,,40.15
03월 03일,,41.65
03월 04일,,45.38
03월 05일,,43.61
03월 06일,,45.52
03월 09일,,47.07
03월 10일,,45.71
03월 11일,,42.33
03월 12일,,47.03
03월 13일,,46.25
03월 16일,,47.35
03월 17일,,49.16
03월 18일,,48.14
03월 19일,,51.61
03월 20일,,51.06
03월 23일,,53.80
03월 24일,,53.98
03월 25일,,52.77
03월 26일,,54.34
03월 27일,,52.38
03월 30일,,48.41
03월 31일,,49.66
04월 01일,,48.39
04월 02일,,52.64
04월 03일,,52.51
04월 06일,,51.05
04월 07일,,49.15
04월 08일,,49.38
04월 09일,,52.24
04월 13일,,50.05
04월 14일,,49.41
04월 15일,,49.25
04월 16일,,49.98
04월 17일,,50.33
04월 20일,,45.88
04월 21일,,46.51
04월 22일,,48.85
04월 23일,,49.62
04월 24일,,51.55
04월 27일,,50.14
04월 28일,,49.92
04월 29일,,50.97
04월 30일,,51.12
05월 01일,,53.20
05월 04일,,54.47
05월 05일,,53.84
05월 06일,,56.34
05월 07일,,56.71
05월 08일,,58.63
05월 11일,,58.50
05월 12일,,58.85
05월 13일,,58.02
05월 14일,,58.62
05월 15일,,56.34
05월 18일,,59.03
05월 19일,,59.65
05월 20일,,62.04
05월 21일,,61.05
05월 22일,,61.67
05월 26일,,62.45
05월 27일,,63.45
05월 28일,,65.08
05월 29일,,66.31
06월 01일,,68.58
06월 02일,,68.55
06월 03일,,66.12
06월 04일,,68.81
06월 05일,,68.44
06월 08일,,68.09
06월 09일,,70.01
06월 10일,,71.33
06월 11일,,72.68
06월 12일,,72.04
06월 15일,,70.62
06월 16일,,70.47
06월 17일,,71.03
06월 18일,,71.37
06월 19일,,69.55
06월 22일,,66.93
06월 23일,,69.24
06월 24일,,68.67
06월 25일,,70.23
06월 26일,,69.16
06월 29일,,71.49
06월 30일,,69.89
07월 01일,,69.31
07월 02일,,66.73
07월 06일,,64.05
07월 07일,,62.93
07월 08일,,60.14
07월 09일,,60.41
07월 10일,,59.89
07월 13일,,59.69
07월 14일,,59.52
07월 15일,,61.54
07월 16일,,62.02
07월 17일,,63.56
07월 20일,,63.98
07월 21일,,64.72
07월 22일,,65.40
07월 23일,,67.16
07월 24일,,68.05
07월 27일,,68.38
07월 28일,,67.23
07월 29일,,63.35
07월 30일,,66.94
07월 31일,,69.45
08월 03일,,71.58
08월 04일,,71.42
08월 05일,,71.97
08월 06일,,71.94
08월 07일,,70.93
08월 10일,,70.60
08월 11일,,69.45
08월 12일,,70.16
08월 13일,,70.52
08월 14일,,67.51
08월 17일,,66.75
08월 18일,,69.19
08월 19일,,72.42
08월 20일,,72.54
08월 21일,,73.89
08월 24일,,74.37
08월 25일,,72.05
08월 26일,,71.43
08월 27일,,72.49
08월 28일,,72.74
08월 31일,,69.96
09월 01일,,68.05
09월 02일,,68.05
09월 03일,,67.96
09월 04일,,68.02
09월 08일,,71.10
09월 09일,,71.31
09월 10일,,71.94
09월 11일,,69.29
09월 14일,,68.86
09월 15일,,70.93
09월 16일,,72.51
09월 17일,,72.47
09월 18일,,72.04
09월 21일,,69.71
09월 22일,,71.55
09월 23일,,68.97
09월 24일,,65.89
09월 25일,,66.02
09월 28일,,66.84
09월 29일,,66.71
09월 30일,,70.61
10월 01일,,70.82
10월 02일,,69.95
10월 05일,,70.41
10월 06일,,70.88
10월 07일,,69.57
10월 08일,,71.69
10월 09일,,71.77
10월 12일,,73.27
10월 13일,,74.15
10월 14일,,75.18
10월 15일,,77.58
10월 16일,,78.53
10월 19일,,79.61
10월 20일,,79.09
10월 21일,,81.37
10월 22일,,81.19
10월 23일,,80.50
10월 26일,,78.68
10월 27일,,79.55
10월 28일,,77.46
10월 29일,,79.87
10월 30일,,77.00
11월 02일,,78.13
11월 03일,,79.60
11월 04일,,80.40
11월 05일,,79.62
11월 06일,,77.43
11월 09일,,79.43
11월 10일,,79.05
11월 11일,,79.28
11월 12일,,76.94
11월 13일,,76.35
11월 16일,,78.90
11월 17일,,79.14
11월 18일,,79.58
11월 19일,,77.46
11월 20일,,76.72
11월 23일,,77.56
11월 24일,,76.02
11월 25일,,77.96
11월 27일,,76.05
11월 30일,,77.28
12월 01일,,78.37
12월 02일,,76.60
12월 03일,,76.46
12월 04일,,75.47
12월 07일,,73.93
12월 08일,,72.62
12월 09일,,70.67
12월 10일,,70.54
12월 11일,,69.87
12월 14일,,69.51
12월 15일,,70.69
12월 16일,,72.66
12월 17일,,72.65
12월 18일,,73.36
12월 21일,,72.47
12월 22일,,74.40
12월 23일,,76.67
12월 24일,,78.05
12월 28일,,78.77
12월 29일,,78.87
12월 30일,,79.28
12월 31일,,79.36
01월 04일,,81.51
01월 05일,,81.77
01월 06일,,83.18
01월 07일,,82.66
01월 08일,,82.75
01월 11일,,82.52
01월 12일,,80.79
01월 13일,,79.65
01월 14일,,79.39
01월 15일,,78.00
01월 19일,,79.02
01월 20일,,77.62
01월 21일,,76.08
01월 22일,,74.54
01월 25일,,75.26
01월 26일,,74.71
01월 27일,,73.67
01월 28일,,73.64
01월 29일,,72.89
02월 01일,,74.43
02월 02일,,77.23
02월 03일,,76.98
02월 04일,,73.14
02월 05일,,71.19
02월 08일,,71.89
02월 09일,,73.75
02월 10일,,74.52
02월 11일,,75.28
02월 12일,,74.13
02월 16일,,77.01
02월 17일,,77.33
02월 18일,,79.06
02월 19일,,79.81
02월 22일,,80.16
02월 23일,,78.86
02월 24일,,80.00
02월 25일,,78.17
02월 26일,,79.66
03월 01일,,78.70
03월 02일,,79.68
03월 03일,,80.87
03월 04일,,80.21
