﻿일,유종,WTI
02월 23일,,63.55
02월 26일,,63.91
02월 27일,,63.01
02월 28일,,61.64
03월 01일,,60.99
03월 02일,,61.25
03월 05일,,62.57
03월 06일,,62.60
03월 07일,,61.15
03월 08일,,60.12
03월 09일,,62.04
03월 12일,,61.36
03월 13일,,60.71
03월 14일,,60.96
03월 15일,,61.19
03월 16일,,62.34
03월 19일,,62.06
03월 20일,,63.40
03월 21일,,65.17
03월 22일,,64.30
03월 23일,,65.88
03월 26일,,65.55
03월 27일,,65.25
03월 28일,,64.38
03월 29일,,64.94
04월 02일,,63.01
04월 03일,,63.51
04월 04일,,63.37
04월 05일,,63.54
04월 06일,,62.06
04월 09일,,63.42
04월 10일,,65.51
04월 11일,,66.82
04월 12일,,67.07
04월 13일,,67.39
04월 16일,,66.22
04월 17일,,66.52
04월 18일,,68.47
04월 19일,,68.29
04월 20일,,68.38
04월 23일,,68.64
04월 24일,,67.70
04월 25일,,68.05
04월 26일,,68.19
04월 27일,,68.10
04월 30일,,68.57
05월 01일,,67.25
05월 02일,,67.93
05월 03일,,68.43
05월 04일,,69.72
05월 07일,,70.73
05월 08일,,69.06
05월 09일,,71.14
05월 10일,,71.36
05월 11일,,70.70
05월 14일,,70.96
05월 15일,,71.31
05월 16일,,71.49
05월 17일,,71.49
05월 18일,,71.28
05월 21일,,72.24
05월 22일,,72.13
05월 23일,,71.84
05월 24일,,70.71
05월 25일,,67.88
05월 29일,,66.73
05월 30일,,68.21
05월 31일,,67.04
06월 01일,,65.81
06월 04일,,64.75
06월 05일,,65.52
06월 06일,,64.73
06월 07일,,65.95
06월 08일,,65.74
06월 11일,,66.10
06월 12일,,66.36
06월 13일,,66.64
06월 14일,,66.89
06월 15일,,65.06
06월 18일,,65.85
06월 19일,,65.07
06월 20일,,66.22
06월 21일,,65.54
06월 22일,,68.58
06월 25일,,68.08
06월 26일,,70.53
06월 27일,,72.76
06월 28일,,73.45
06월 29일,,74.15
07월 02일,,73.94
07월 03일,,74.14
07월 05일,,72.94
07월 06일,,73.80
07월 09일,,73.85
07월 10일,,74.11
07월 11일,,70.38
07월 12일,,70.33
07월 13일,,71.01
07월 16일,,68.06
07월 17일,,68.08
07월 18일,,68.76
07월 19일,,69.46
07월 20일,,70.46
07월 23일,,67.89
07월 24일,,68.52
07월 25일,,69.30
07월 26일,,69.61
07월 27일,,68.69
07월 30일,,70.13
07월 31일,,68.76
08월 01일,,67.66
08월 02일,,68.96
08월 03일,,68.49
08월 06일,,69.01
08월 07일,,69.17
08월 08일,,66.94
08월 09일,,66.81
08월 10일,,67.63
08월 13일,,67.20
08월 14일,,67.04
08월 15일,,65.01
08월 16일,,65.46
08월 17일,,65.91
08월 20일,,66.43
08월 21일,,67.35
08월 22일,,67.86
08월 23일,,67.83
08월 24일,,68.72
08월 27일,,68.87
08월 28일,,68.53
08월 29일,,69.51
08월 30일,,70.25
08월 31일,,69.80
09월 04일,,69.87
09월 05일,,68.72
09월 06일,,67.77
09월 07일,,67.75
09월 10일,,67.54
09월 11일,,69.25
09월 12일,,70.37
09월 13일,,68.59
09월 14일,,68.99
09월 17일,,68.91
09월 18일,,69.85
09월 19일,,71.12
09월 20일,,70.80
09월 21일,,70.78
09월 24일,,72.08
09월 25일,,72.28
09월 26일,,71.57
09월 27일,,72.12
09월 28일,,73.25
10월 01일,,75.30
10월 02일,,75.23
10월 03일,,76.41
10월 04일,,74.33
10월 05일,,74.34
10월 08일,,74.29
10월 09일,,74.96
10월 10일,,73.17
10월 11일,,70.97
10월 12일,,71.34
10월 15일,,71.78
10월 16일,,71.92
10월 17일,,69.75
10월 18일,,68.65
10월 19일,,69.12
10월 22일,,69.17
10월 23일,,66.43
10월 24일,,66.82
10월 25일,,67.33
10월 26일,,67.59
10월 29일,,67.04
10월 30일,,66.18
10월 31일,,65.31
11월 01일,,63.69
11월 02일,,63.14
11월 05일,,63.10
11월 06일,,62.21
11월 07일,,61.67
11월 08일,,60.67
11월 09일,,60.19
11월 12일,,59.93
11월 13일,,55.69
11월 14일,,56.25
11월 15일,,56.46
11월 16일,,56.46
11월 19일,,56.76
11월 20일,,53.43
11월 21일,,54.63
11월 23일,,50.42
11월 26일,,51.63
11월 27일,,51.56
11월 28일,,50.29
11월 29일,,51.45
11월 30일,,50.93
12월 03일,,52.95
12월 04일,,53.25
12월 05일,,52.89
12월 06일,,51.49
12월 07일,,52.61
12월 10일,,51.00
12월 11일,,51.65
12월 12일,,51.15
12월 13일,,52.58
12월 14일,,51.20
12월 17일,,49.88
12월 18일,,46.24
12월 19일,,47.20
12월 20일,,45.88
12월 21일,,45.59
12월 24일,,42.53
12월 26일,,46.22
12월 27일,,44.61
12월 28일,,45.33
12월 31일,,45.41
01월 02일,,46.54
01월 03일,,47.09
01월 04일,,47.96
01월 07일,,48.52
01월 08일,,49.78
01월 09일,,52.36
01월 10일,,52.59
01월 11일,,51.59
01월 14일,,50.51
01월 15일,,52.11
01월 16일,,52.31
01월 17일,,52.07
01월 18일,,53.80
01월 22일,,52.57
01월 23일,,52.62
01월 24일,,53.13
01월 25일,,53.69
01월 28일,,51.99
01월 29일,,53.31
01월 30일,,54.23
01월 31일,,53.79
02월 01일,,55.26
02월 04일,,54.56
02월 05일,,53.66
02월 06일,,54.01
02월 07일,,52.64
02월 08일,,52.72
02월 11일,,52.41
02월 12일,,53.10
02월 13일,,53.90
02월 14일,,54.41
02월 15일,,55.59
02월 19일,,56.09
02월 20일,,56.92
02월 21일,,56.96
02월 22일,,57.26
02월 25일,,55.48
02월 26일,,55.50
02월 27일,,56.94
02월 28일,,57.22
03월 01일,,55.80
03월 04일,,56.59
03월 05일,,56.56
03월 06일,,56.22
03월 07일,,56.66
03월 08일,,56.07
03월 11일,,56.79
03월 12일,,56.87
03월 13일,,58.26
03월 14일,,58.61
03월 15일,,58.52
03월 18일,,59.09
03월 19일,,59.03
03월 20일,,59.83
03월 21일,,59.98
03월 22일,,59.04
03월 25일,,58.82
03월 26일,,59.94
03월 27일,,59.41
03월 28일,,59.30
03월 29일,,60.14
04월 01일,,61.59
04월 02일,,62.58
04월 03일,,62.46
04월 04일,,62.10
04월 05일,,63.08
04월 08일,,64.40
04월 09일,,63.98
04월 10일,,64.61
04월 11일,,63.58
04월 12일,,63.89
04월 15일,,63.40
04월 16일,,64.05
04월 17일,,63.76
04월 18일,,64.00
04월 22일,,65.70
04월 23일,,66.30
04월 24일,,65.89
04월 25일,,65.21
04월 26일,,63.30
04월 29일,,63.50
04월 30일,,63.91
05월 01일,,63.60
05월 02일,,61.81
05월 03일,,61.94
05월 06일,,62.25
05월 07일,,61.40
05월 08일,,62.12
05월 09일,,61.70
05월 10일,,61.66
05월 13일,,61.04
05월 14일,,61.78
05월 15일,,62.02
05월 16일,,62.87
05월 17일,,62.76
05월 20일,,63.10
05월 21일,,62.99
05월 22일,,61.42
05월 23일,,57.91
05월 24일,,58.63
05월 28일,,59.14
05월 29일,,58.81
05월 30일,,56.59
05월 31일,,53.50
06월 03일,,53.25
06월 04일,,53.48
06월 05일,,51.68
06월 06일,,52.59
06월 07일,,53.99
06월 10일,,53.26
06월 11일,,53.27
06월 12일,,51.14
06월 13일,,52.28
06월 14일,,52.51
06월 17일,,51.93
06월 18일,,53.90
06월 19일,,53.76
06월 20일,,56.65
06월 21일,,57.43
06월 24일,,57.90
06월 25일,,57.83
06월 26일,,59.38
06월 27일,,59.43
06월 28일,,58.47
07월 01일,,59.09
07월 02일,,56.25
07월 03일,,57.34
07월 05일,,57.51
07월 08일,,57.66
07월 09일,,57.83
07월 10일,,60.43
07월 11일,,60.20
07월 12일,,60.21
07월 15일,,59.58
07월 16일,,57.62
07월 17일,,56.78
07월 18일,,55.30
07월 19일,,55.63
07월 22일,,56.22
07월 23일,,56.77
07월 24일,,55.88
07월 25일,,56.02
07월 26일,,56.20
07월 29일,,56.87
07월 30일,,58.05
07월 31일,,58.58
08월 01일,,53.95
08월 02일,,55.66
08월 05일,,54.69
08월 06일,,53.63
08월 07일,,51.09
08월 08일,,52.54
08월 09일,,54.50
08월 12일,,54.93
08월 13일,,57.10
08월 14일,,55.23
08월 15일,,54.47
08월 16일,,54.87
08월 19일,,56.21
08월 20일,,56.34
08월 21일,,55.68
08월 22일,,55.35
08월 23일,,54.17
08월 26일,,53.64
08월 27일,,54.93
08월 28일,,55.78
08월 29일,,56.71
08월 30일,,55.10
09월 03일,,53.94
09월 04일,,56.26
09월 05일,,56.30
09월 06일,,56.52
09월 09일,,57.85
09월 10일,,57.40
09월 11일,,55.75
09월 12일,,55.09
09월 13일,,54.85
09월 16일,,62.90
09월 17일,,59.34
09월 18일,,58.11
09월 19일,,58.13
09월 20일,,58.09
09월 23일,,58.64
09월 24일,,57.29
09월 25일,,56.49
09월 26일,,56.41
09월 27일,,55.91
09월 30일,,54.07
10월 01일,,53.62
10월 02일,,52.64
10월 03일,,52.45
10월 04일,,52.81
10월 07일,,52.75
10월 08일,,52.63
10월 09일,,52.59
10월 10일,,53.55
10월 11일,,54.70
10월 14일,,53.59
10월 15일,,52.81
10월 16일,,53.36
10월 17일,,53.93
10월 18일,,53.78
10월 21일,,53.31
10월 22일,,54.16
10월 23일,,55.97
10월 24일,,56.23
10월 25일,,56.66
10월 28일,,55.81
10월 29일,,55.54
10월 30일,,55.06
10월 31일,,54.18
11월 01일,,56.20
11월 04일,,56.54
11월 05일,,57.23
11월 06일,,56.35
11월 07일,,57.15
11월 08일,,57.24
11월 11일,,56.86
11월 12일,,56.80
11월 13일,,57.12
11월 14일,,56.77
11월 15일,,57.72
11월 18일,,57.05
11월 19일,,55.21
11월 20일,,57.11
11월 21일,,58.58
11월 22일,,57.77
11월 25일,,58.01
11월 26일,,58.41
11월 27일,,58.11
11월 29일,,55.17
12월 02일,,55.96
12월 03일,,56.10
12월 04일,,58.43
12월 05일,,58.43
12월 06일,,59.20
12월 09일,,59.02
12월 10일,,59.24
12월 11일,,58.76
12월 12일,,59.18
12월 13일,,60.07
12월 16일,,60.21
12월 17일,,60.94
12월 18일,,60.93
12월 19일,,61.22
12월 20일,,60.44
12월 23일,,60.52
12월 24일,,61.11
12월 26일,,61.68
12월 27일,,61.72
12월 30일,,61.68
12월 31일,,61.06
01월 02일,,61.18
01월 03일,,63.05
01월 06일,,63.27
01월 07일,,62.70
01월 08일,,59.61
01월 09일,,59.56
01월 10일,,59.04
01월 13일,,58.08
01월 14일,,58.23
01월 15일,,57.81
01월 16일,,58.52
01월 17일,,58.54
01월 21일,,58.34
01월 22일,,56.74
01월 23일,,55.59
01월 24일,,54.19
01월 27일,,53.14
01월 28일,,53.48
01월 29일,,53.33
01월 30일,,52.14
01월 31일,,51.56
02월 03일,,50.11
02월 04일,,49.61
02월 05일,,50.75
02월 06일,,50.95
02월 07일,,50.32
02월 10일,,49.57
02월 11일,,49.94
02월 12일,,51.17
02월 13일,,51.42
02월 14일,,52.05
02월 18일,,52.05
02월 19일,,53.29
02월 20일,,53.78
02월 21일,,53.38
02월 24일,,51.43
02월 25일,,49.90
02월 26일,,48.73
02월 27일,,47.09
02월 28일,,44.76
03월 02일,,46.75
03월 03일,,47.18
03월 04일,,46.78
03월 05일,,45.90
03월 06일,,41.28
03월 09일,,31.13
03월 10일,,34.36
03월 11일,,32.98
03월 12일,,31.50
03월 13일,,31.73
03월 16일,,28.70
03월 17일,,26.95
03월 18일,,20.37
03월 19일,,25.22
03월 20일,,22.43
03월 23일,,23.36
03월 24일,,24.01
03월 25일,,24.49
03월 26일,,22.60
03월 27일,,21.51
03월 30일,,20.09
03월 31일,,20.48
04월 01일,,20.31
04월 02일,,25.32
04월 03일,,28.34
04월 06일,,26.08
04월 07일,,23.63
04월 08일,,25.09
04월 09일,,22.76
04월 13일,,22.41
04월 14일,,20.11
04월 15일,,19.87
04월 16일,,19.87
04월 17일,,18.27
04월 20일,,-37.63
04월 21일,,10.01
04월 22일,,13.78
04월 23일,,16.50
04월 24일,,16.94
04월 27일,,12.78
04월 28일,,12.34
04월 29일,,15.06
04월 30일,,18.84
05월 01일,,19.78
05월 04일,,20.39
05월 05일,,24.56
05월 06일,,23.99
05월 07일,,23.55
05월 08일,,24.74
05월 11일,,24.14
05월 12일,,25.78
05월 13일,,25.29
05월 14일,,27.56
05월 15일,,29.43
05월 18일,,31.82
05월 19일,,32.50
05월 20일,,33.49
05월 21일,,33.92
05월 22일,,33.25
05월 26일,,34.35
05월 27일,,32.81
05월 28일,,33.71
05월 29일,,35.49
06월 01일,,35.44
06월 02일,,36.81
06월 03일,,37.29
06월 04일,,37.41
06월 05일,,39.55
06월 08일,,38.19
06월 09일,,38.94
06월 10일,,39.60
06월 11일,,36.34
06월 12일,,36.26
06월 15일,,37.12
06월 16일,,38.38
06월 17일,,37.96
06월 18일,,38.84
06월 19일,,39.75
06월 22일,,40.46
06월 23일,,40.37
06월 24일,,38.01
06월 25일,,38.72
06월 26일,,38.49
06월 29일,,39.70
06월 30일,,39.27
07월 01일,,39.82
07월 02일,,40.65
07월 06일,,40.63
07월 07일,,40.62
07월 08일,,40.90
07월 09일,,39.62
07월 10일,,40.55
07월 13일,,40.10
07월 14일,,40.29
07월 15일,,41.20
07월 16일,,40.75
07월 17일,,40.59
07월 20일,,40.81
07월 21일,,41.96
07월 22일,,41.90
07월 23일,,41.07
07월 24일,,41.29
07월 27일,,41.60
07월 28일,,41.04
07월 29일,,41.27
07월 30일,,39.92
07월 31일,,40.27
08월 03일,,41.01
08월 04일,,41.70
08월 05일,,42.19
08월 06일,,41.95
08월 07일,,41.22
08월 10일,,41.94
08월 11일,,41.61
08월 12일,,42.67
08월 13일,,42.24
08월 14일,,42.01
08월 17일,,42.89
08월 18일,,42.89
08월 19일,,42.93
08월 20일,,42.58
08월 21일,,42.34
08월 24일,,42.62
08월 25일,,43.35
08월 26일,,43.39
08월 27일,,43.04
08월 28일,,42.97
08월 31일,,42.61
09월 01일,,42.76
09월 02일,,41.51
09월 03일,,41.37
09월 04일,,39.77
09월 08일,,36.76
09월 09일,,38.05
09월 10일,,37.30
09월 11일,,37.33
09월 14일,,37.26
09월 15일,,38.28
09월 16일,,40.16
09월 17일,,40.97
09월 18일,,41.11
09월 21일,,39.31
09월 22일,,39.60
09월 23일,,39.93
09월 24일,,40.31
09월 25일,,40.25
09월 28일,,40.60
09월 29일,,39.29
09월 30일,,40.22
10월 01일,,38.72
10월 02일,,37.05
10월 05일,,39.22
10월 06일,,40.67
10월 07일,,39.95
10월 08일,,41.19
10월 09일,,40.60
10월 12일,,39.43
10월 13일,,40.20
10월 14일,,41.04
10월 15일,,40.96
10월 16일,,40.88
10월 19일,,40.83
10월 20일,,41.46
10월 21일,,40.03
10월 22일,,40.64
10월 23일,,39.85
10월 26일,,38.56
10월 27일,,39.57
10월 28일,,37.39
10월 29일,,36.17
10월 30일,,35.79
11월 02일,,36.81
11월 03일,,37.66
11월 04일,,39.15
11월 05일,,38.79
11월 06일,,37.14
11월 09일,,40.29
11월 10일,,41.36
11월 11일,,41.45
11월 12일,,41.12
11월 13일,,40.13
11월 16일,,41.34
11월 17일,,41.43
11월 18일,,41.82
11월 19일,,41.74
11월 20일,,42.15
11월 23일,,43.06
11월 24일,,44.91
11월 25일,,45.71
11월 27일,,45.53
11월 30일,,45.34
12월 01일,,44.55
12월 02일,,45.28
12월 03일,,45.64
12월 04일,,46.26
12월 07일,,45.76
12월 08일,,45.60
12월 09일,,45.52
12월 10일,,46.78
12월 11일,,46.57
12월 14일,,46.99
12월 15일,,47.62
12월 16일,,47.82
12월 17일,,48.36
12월 18일,,49.10
12월 21일,,47.74
12월 22일,,47.02
12월 23일,,48.12
12월 24일,,48.23
12월 28일,,47.62
12월 29일,,48.00
12월 30일,,48.40
12월 31일,,48.52
전일비,,0.12
전주비,,0.29
전월동일비,,3.18
전년동일비,,-12.54
평균,,52.78
