﻿일,유종,WTI
01월 02일,,93.12
01월 03일,,92.92
01월 04일,,93.09
01월 07일,,93.19
01월 08일,,93.15
01월 09일,,93.10
01월 10일,,93.82
01월 11일,,93.56
01월 14일,,94.14
01월 15일,,93.28
01월 16일,,94.24
01월 17일,,95.49
01월 18일,,95.56
01월 22일,,96.24
01월 23일,,95.23
01월 24일,,95.95
01월 25일,,95.88
01월 28일,,96.44
01월 29일,,97.57
01월 30일,,97.94
01월 31일,,97.49
02월 01일,,97.77
02월 04일,,96.17
02월 05일,,96.64
02월 06일,,96.62
02월 07일,,95.83
02월 08일,,95.72
02월 11일,,97.03
02월 12일,,97.51
02월 13일,,97.01
02월 14일,,97.31
02월 15일,,95.86
02월 19일,,96.66
02월 20일,,94.46
02월 21일,,92.84
02월 22일,,93.13
02월 25일,,93.11
02월 26일,,92.63
02월 27일,,92.76
02월 28일,,92.05
03월 01일,,90.68
03월 04일,,90.12
03월 05일,,90.82
03월 06일,,90.43
03월 07일,,91.56
03월 08일,,91.95
03월 11일,,92.06
03월 12일,,92.54
03월 13일,,92.52
03월 14일,,93.03
03월 15일,,93.45
03월 18일,,93.74
03월 19일,,92.16
03월 20일,,92.96
03월 21일,,92.45
03월 22일,,93.71
03월 25일,,94.81
03월 26일,,96.34
03월 27일,,96.58
03월 28일,,97.23
04월 01일,,97.07
04월 02일,,97.19
04월 03일,,94.45
04월 04일,,93.26
04월 05일,,92.70
04월 08일,,93.36
04월 09일,,94.20
04월 10일,,94.64
04월 11일,,93.51
04월 12일,,91.29
04월 15일,,88.71
04월 16일,,88.72
04월 17일,,86.68
04월 18일,,87.73
04월 19일,,88.01
04월 22일,,88.76
04월 23일,,89.18
04월 24일,,91.43
04월 25일,,93.64
04월 26일,,93.00
04월 29일,,94.50
04월 30일,,93.46
05월 01일,,91.03
05월 02일,,93.99
05월 03일,,95.61
05월 06일,,96.16
05월 07일,,95.62
05월 08일,,96.62
05월 09일,,96.39
05월 10일,,96.04
05월 13일,,95.17
05월 14일,,94.21
05월 15일,,94.30
05월 16일,,95.16
05월 17일,,96.02
05월 20일,,96.71
05월 21일,,96.16
05월 22일,,94.28
05월 23일,,94.25
05월 24일,,94.15
