﻿일,유종,WTI
01월 03일,,42.12
01월 04일,,43.91
01월 05일,,43.39
01월 06일,,45.56
01월 07일,,45.43
01월 10일,,45.33
01월 11일,,45.68
01월 12일,,46.37
01월 13일,,48.04
01월 14일,,48.38
01월 18일,,48.38
01월 19일,,47.55
01월 20일,,46.91
01월 21일,,48.53
01월 24일,,48.81
01월 25일,,49.64
01월 26일,,48.78
01월 27일,,48.84
01월 28일,,47.18
01월 31일,,48.20
02월 01일,,47.12
02월 02일,,46.69
02월 03일,,46.45
02월 04일,,46.48
02월 07일,,45.28
02월 08일,,45.40
02월 09일,,45.46
02월 10일,,47.10
02월 11일,,47.16
02월 14일,,47.44
02월 15일,,47.26
02월 16일,,48.33
02월 17일,,47.54
02월 18일,,48.35
02월 22일,,51.15
02월 23일,,51.17
02월 24일,,51.39
02월 25일,,51.49
02월 28일,,51.75
03월 01일,,51.68
03월 02일,,53.05
03월 03일,,53.57
03월 04일,,53.78
03월 07일,,53.89
03월 08일,,54.59
03월 09일,,54.77
03월 10일,,53.54
03월 11일,,54.43
03월 14일,,54.95
03월 15일,,55.05
03월 16일,,56.46
03월 17일,,56.40
03월 18일,,56.72
03월 21일,,56.62
03월 22일,,56.03
03월 23일,,53.81
03월 24일,,54.84
03월 28일,,54.05
03월 29일,,54.23
03월 30일,,53.99
03월 31일,,55.40
04월 01일,,57.27
04월 04일,,57.01
04월 05일,,56.04
04월 06일,,55.85
04월 07일,,54.11
04월 08일,,53.32
04월 11일,,53.71
04월 12일,,51.86
04월 13일,,50.22
04월 14일,,51.13
04월 15일,,50.49
04월 18일,,50.37
04월 19일,,52.29
04월 20일,,52.44
04월 21일,,54.20
04월 22일,,55.39
04월 25일,,54.57
04월 26일,,54.20
04월 27일,,51.61
04월 28일,,51.77
04월 29일,,49.72
05월 02일,,50.92
05월 03일,,49.50
05월 04일,,50.13
05월 05일,,50.83
05월 06일,,50.96
05월 09일,,52.03
05월 10일,,52.07
05월 11일,,50.45
05월 12일,,48.54
05월 13일,,48.67
05월 16일,,48.61
05월 17일,,48.97
05월 18일,,47.25
05월 19일,,46.92
05월 20일,,46.80
05월 23일,,49.16
05월 24일,,49.67
05월 25일,,50.98
05월 26일,,51.01
05월 27일,,51.85
05월 31일,,51.97
06월 01일,,54.60
06월 02일,,53.63
06월 03일,,55.03
06월 06일,,54.49
06월 07일,,53.76
06월 08일,,52.54
06월 09일,,54.28
06월 10일,,53.54
06월 13일,,55.62
06월 14일,,55.00
06월 15일,,55.57
06월 16일,,56.58
06월 17일,,58.47
06월 20일,,59.37
06월 21일,,58.90
06월 22일,,58.09
06월 23일,,59.42
06월 24일,,59.84
06월 27일,,60.54
06월 28일,,58.20
06월 29일,,57.26
06월 30일,,56.50
07월 01일,,58.75
07월 05일,,59.59
07월 06일,,61.28
07월 07일,,60.73
07월 08일,,59.63
07월 11일,,58.92
07월 12일,,60.62
07월 13일,,60.01
07월 14일,,57.80
07월 15일,,58.09
07월 18일,,57.32
07월 19일,,57.46
07월 20일,,56.72
07월 21일,,57.13
07월 22일,,58.65
07월 25일,,59.00
07월 26일,,59.20
07월 27일,,59.11
07월 28일,,59.94
07월 29일,,60.57
08월 01일,,61.57
08월 02일,,61.89
08월 03일,,60.86
08월 04일,,61.38
08월 05일,,62.31
08월 08일,,63.94
08월 09일,,63.07
08월 10일,,64.90
08월 11일,,65.80
08월 12일,,66.86
08월 15일,,66.27
08월 16일,,66.08
08월 17일,,63.25
08월 18일,,63.27
08월 19일,,65.35
08월 22일,,65.45
08월 23일,,65.71
08월 24일,,67.32
08월 25일,,67.49
08월 26일,,66.13
08월 29일,,67.20
08월 30일,,69.81
08월 31일,,68.94
09월 01일,,69.47
09월 02일,,67.57
09월 06일,,65.96
09월 07일,,64.37
09월 08일,,64.49
09월 09일,,64.08
09월 12일,,63.34
09월 13일,,63.11
09월 14일,,65.09
09월 15일,,64.75
09월 16일,,63.00
09월 19일,,67.39
09월 20일,,66.23
09월 21일,,66.80
09월 22일,,66.50
09월 23일,,64.19
09월 26일,,65.82
09월 27일,,65.07
09월 28일,,66.35
09월 29일,,66.79
09월 30일,,66.24
10월 03일,,65.47
10월 04일,,63.90
10월 05일,,62.79
10월 06일,,61.36
10월 07일,,61.84
10월 10일,,61.80
10월 11일,,63.53
10월 12일,,64.12
10월 13일,,63.08
10월 14일,,62.63
10월 17일,,64.36
10월 18일,,63.20
10월 19일,,62.41
10월 20일,,61.03
10월 21일,,60.63
10월 24일,,60.32
10월 25일,,62.44
10월 26일,,60.66
10월 27일,,61.09
10월 28일,,61.22
10월 31일,,59.76
11월 01일,,59.85
11월 02일,,59.75
11월 03일,,61.78
11월 04일,,60.58
11월 07일,,59.47
11월 08일,,59.71
11월 09일,,58.93
11월 10일,,57.80
11월 11일,,57.53
11월 14일,,57.69
11월 15일,,56.98
11월 16일,,57.88
11월 17일,,56.34
11월 18일,,56.14
11월 21일,,57.70
11월 22일,,58.84
11월 23일,,58.71
11월 28일,,57.36
11월 29일,,56.50
11월 30일,,57.32
12월 01일,,58.47
12월 02일,,59.32
12월 05일,,59.91
12월 06일,,59.94
12월 07일,,59.21
12월 08일,,60.66
12월 09일,,59.39
12월 12일,,61.30
12월 13일,,61.37
12월 14일,,60.85
12월 15일,,59.99
12월 16일,,58.06
12월 19일,,57.34
12월 20일,,57.98
12월 21일,,58.56
12월 22일,,58.28
12월 23일,,58.43
12월 27일,,58.16
12월 28일,,59.82
12월 29일,,60.32
12월 30일,,61.04
01월 03일,,63.14
01월 04일,,63.42
01월 05일,,62.79
01월 06일,,64.21
01월 09일,,63.50
01월 10일,,63.37
01월 11일,,63.94
01월 12일,,63.94
01월 13일,,63.92
01월 17일,,66.31
01월 18일,,65.73
01월 19일,,66.83
01월 20일,,68.35
01월 23일,,68.10
01월 24일,,67.06
01월 25일,,65.85
01월 26일,,66.26
01월 27일,,67.76
01월 30일,,68.35
01월 31일,,67.92
02월 01일,,66.56
02월 02일,,64.68
02월 03일,,65.37
02월 06일,,65.11
02월 07일,,63.09
02월 08일,,62.55
02월 09일,,62.62
02월 10일,,61.84
02월 13일,,61.24
02월 14일,,59.57
02월 15일,,57.65
02월 16일,,58.46
02월 17일,,59.88
02월 21일,,61.10
