﻿일,유종,WTI
01월 02일,,27.21
01월 03일,,28.00
01월 04일,,28.14
01월 05일,,27.95
01월 08일,,27.32
01월 09일,,27.64
01월 10일,,29.48
01월 11일,,29.41
01월 12일,,30.05
01월 16일,,30.29
01월 17일,,29.60
01월 18일,,30.45
01월 19일,,32.19
01월 22일,,32.19
01월 23일,,29.57
01월 24일,,29.05
01월 25일,,29.36
01월 26일,,29.77
01월 29일,,29.06
01월 30일,,29.06
01월 31일,,28.66
02월 01일,,29.82
02월 02일,,31.19
02월 05일,,30.55
02월 06일,,30.35
02월 07일,,31.27
02월 08일,,31.59
02월 09일,,31.03
02월 12일,,30.51
02월 13일,,30.36
02월 14일,,29.71
02월 15일,,28.80
02월 16일,,29.16
02월 20일,,28.58
02월 21일,,28.53
02월 22일,,28.82
02월 23일,,29.04
02월 26일,,28.42
02월 27일,,28.13
02월 28일,,27.39
03월 01일,,27.62
03월 02일,,27.84
03월 05일,,28.60
03월 06일,,28.32
03월 07일,,29.00
03월 08일,,28.39
03월 09일,,28.01
03월 12일,,28.00
03월 13일,,27.59
03월 14일,,26.41
03월 15일,,26.55
03월 16일,,26.74
03월 19일,,26.15
03월 20일,,25.96
03월 21일,,26.80
03월 22일,,26.54
03월 23일,,27.30
03월 26일,,27.48
03월 27일,,27.75
03월 28일,,26.31
03월 29일,,26.32
03월 30일,,26.29
04월 02일,,25.59
04월 03일,,26.19
04월 04일,,27.12
04월 05일,,27.26
04월 06일,,27.06
04월 09일,,27.28
04월 10일,,28.48
04월 11일,,28.18
04월 12일,,28.25
04월 16일,,28.79
04월 17일,,28.24
04월 18일,,27.95
04월 19일,,27.82
04월 20일,,27.28
04월 23일,,27.61
04월 24일,,26.86
04월 25일,,27.29
04월 26일,,28.44
04월 27일,,28.27
04월 30일,,28.46
05월 01일,,28.94
05월 02일,,27.80
05월 03일,,28.45
05월 04일,,28.36
05월 07일,,27.77
05월 08일,,27.39
05월 09일,,28.23
05월 10일,,28.52
05월 11일,,28.55
05월 14일,,28.71
05월 15일,,28.98
05월 16일,,28.86
05월 17일,,28.91
05월 18일,,29.91
05월 21일,,29.98
05월 22일,,29.74
05월 23일,,29.58
05월 24일,,28.41
05월 25일,,28.38
05월 29일,,28.66
05월 30일,,28.55
05월 31일,,28.37
06월 01일,,27.93
06월 04일,,28.13
06월 05일,,28.24
06월 06일,,27.72
06월 07일,,27.75
06월 08일,,28.33
06월 11일,,29.04
06월 12일,,29.18
06월 13일,,28.84
06월 14일,,29.04
06월 15일,,28.51
06월 18일,,27.55
06월 19일,,27.48
06월 20일,,26.50
06월 21일,,26.56
06월 22일,,26.83
06월 25일,,27.25
06월 26일,,26.98
06월 27일,,25.61
06월 28일,,25.56
06월 29일,,26.25
07월 02일,,25.95
07월 03일,,26.24
07월 05일,,27.02
07월 06일,,28.21
07월 09일,,27.59
07월 10일,,27.49
07월 11일,,27.11
07월 12일,,26.80
07월 13일,,26.59
07월 16일,,26.06
07월 17일,,25.57
07월 18일,,24.89
07월 19일,,24.70
07월 20일,,25.59
07월 23일,,26.12
07월 24일,,26.31
07월 25일,,26.84
07월 26일,,26.73
07월 27일,,27.02
07월 30일,,26.63
07월 31일,,26.35
08월 01일,,26.77
08월 02일,,27.71
08월 03일,,27.62
08월 06일,,27.74
08월 07일,,27.94
08월 08일,,27.54
08월 09일,,27.64
08월 10일,,28.05
08월 13일,,27.82
08월 14일,,28.01
08월 15일,,27.56
08월 16일,,27.40
08월 17일,,26.68
08월 20일,,27.18
08월 21일,,27.91
08월 22일,,26.37
08월 23일,,26.63
08월 24일,,26.90
08월 27일,,26.67
08월 28일,,27.17
08월 29일,,27.05
08월 30일,,26.55
08월 31일,,27.20
09월 04일,,26.93
09월 05일,,26.95
09월 06일,,27.58
09월 07일,,28.03
09월 10일,,27.63
09월 14일,,29.53
09월 17일,,28.81
09월 18일,,27.70
09월 19일,,26.72
09월 20일,,26.59
09월 21일,,25.97
09월 24일,,22.01
09월 25일,,21.81
09월 26일,,22.38
09월 27일,,22.74
09월 28일,,23.43
10월 01일,,23.28
10월 02일,,22.79
10월 03일,,22.08
10월 04일,,22.63
10월 05일,,22.39
10월 08일,,22.45
10월 09일,,22.48
10월 10일,,22.53
10월 11일,,23.34
10월 12일,,22.50
10월 15일,,22.29
10월 16일,,22.00
10월 17일,,21.81
10월 18일,,21.31
10월 19일,,21.83
10월 22일,,21.76
10월 23일,,21.85
10월 24일,,22.33
10월 25일,,22.01
10월 26일,,22.03
10월 29일,,22.15
10월 30일,,21.87
10월 31일,,21.18
11월 01일,,20.39
11월 02일,,20.18
11월 05일,,20.02
11월 06일,,19.92
11월 07일,,20.09
11월 08일,,21.17
11월 09일,,22.22
11월 12일,,21.20
11월 13일,,21.67
11월 14일,,19.74
11월 15일,,17.45
11월 16일,,18.03
11월 19일,,17.72
11월 20일,,19.15
11월 21일,,18.96
11월 26일,,18.69
11월 27일,,19.48
11월 28일,,19.22
11월 29일,,18.62
11월 30일,,19.44
12월 03일,,20.09
12월 04일,,19.65
12월 05일,,19.49
12월 06일,,18.54
12월 07일,,19.04
12월 10일,,18.37
12월 11일,,18.08
12월 12일,,18.36
12월 13일,,18.12
12월 14일,,19.23
12월 17일,,19.22
12월 18일,,19.36
12월 19일,,19.80
12월 20일,,19.28
12월 21일,,19.62
12월 26일,,21.27
12월 27일,,20.90
12월 28일,,20.41
12월 31일,,19.84
01월 02일,,21.01
01월 03일,,20.37
01월 04일,,21.62
01월 07일,,21.48
01월 08일,,21.25
01월 09일,,20.18
01월 10일,,20.38
01월 11일,,19.68
01월 14일,,18.89
01월 15일,,18.90
01월 16일,,18.86
01월 17일,,17.97
01월 18일,,18.00
01월 22일,,18.34
01월 23일,,19.50
01월 24일,,19.70
01월 25일,,19.99
01월 28일,,20.05
01월 29일,,19.58
01월 30일,,19.08
01월 31일,,19.48
02월 01일,,20.38
02월 04일,,20.07
02월 05일,,20.07
02월 06일,,19.78
02월 07일,,19.64
02월 08일,,20.26
02월 11일,,21.41
02월 12일,,20.73
02월 13일,,21.18
02월 14일,,21.23
02월 15일,,21.50
02월 19일,,20.88
02월 20일,,20.29
02월 21일,,20.95
02월 22일,,21.07
02월 25일,,20.48
02월 26일,,21.41
02월 27일,,21.29
02월 28일,,21.74
03월 01일,,22.40
03월 04일,,22.45
03월 05일,,23.17
03월 06일,,23.15
03월 07일,,23.71
03월 08일,,23.84
03월 11일,,24.31
03월 12일,,24.20
03월 13일,,24.16
03월 14일,,24.56
03월 15일,,24.51
03월 18일,,25.11
03월 19일,,24.88
03월 20일,,24.90
03월 21일,,25.61
03월 22일,,25.35
03월 25일,,24.99
03월 26일,,25.36
03월 27일,,25.87
03월 28일,,26.31
04월 01일,,26.88
04월 02일,,27.71
04월 03일,,27.56
04월 04일,,26.58
04월 05일,,26.21
04월 08일,,26.54
04월 09일,,25.82
04월 10일,,26.13
04월 11일,,24.99
04월 12일,,23.47
04월 15일,,24.57
04월 16일,,24.75
04월 17일,,25.94
04월 18일,,26.18
04월 19일,,26.38
04월 22일,,26.27
04월 23일,,26.62
04월 24일,,26.38
04월 25일,,26.73
04월 26일,,27.11
04월 29일,,27.57
04월 30일,,27.29
05월 01일,,26.75
05월 02일,,26.24
05월 03일,,26.62
05월 06일,,26.12
05월 07일,,26.63
05월 08일,,27.85
05월 09일,,27.68
05월 10일,,27.99
05월 13일,,28.38
05월 14일,,29.36
05월 15일,,28.15
05월 16일,,27.95
05월 17일,,28.18
05월 20일,,28.33
05월 21일,,27.33
05월 22일,,26.37
05월 23일,,26.15
05월 24일,,25.88
05월 28일,,25.27
05월 29일,,25.76
05월 30일,,24.67
05월 31일,,25.31
06월 03일,,25.08
06월 04일,,25.33
06월 05일,,24.89
06월 06일,,24.79
06월 07일,,24.75
06월 10일,,24.29
06월 11일,,24.12
06월 12일,,24.64
06월 13일,,25.64
06월 14일,,25.94
06월 17일,,26.09
06월 18일,,25.43
06월 19일,,25.31
06월 20일,,25.53
06월 21일,,25.82
06월 24일,,26.47
06월 25일,,26.32
06월 26일,,26.76
06월 27일,,26.86
06월 28일,,26.86
07월 01일,,26.81
07월 02일,,26.77
07월 03일,,26.80
07월 08일,,26.07
07월 09일,,26.09
07월 10일,,26.77
07월 11일,,26.83
07월 12일,,27.48
07월 15일,,27.07
07월 16일,,27.75
07월 17일,,27.88
07월 18일,,27.57
07월 19일,,27.83
07월 22일,,26.60
07월 23일,,26.31
07월 24일,,26.87
07월 25일,,26.77
07월 26일,,26.54
07월 29일,,26.55
07월 30일,,27.36
07월 31일,,27.02
08월 01일,,26.47
08월 02일,,26.84
08월 05일,,26.58
08월 06일,,27.17
08월 07일,,26.50
08월 08일,,26.67
08월 09일,,26.86
08월 12일,,27.86
08월 13일,,27.90
08월 14일,,28.15
08월 15일,,29.06
08월 16일,,29.33
08월 19일,,29.84
08월 20일,,30.11
08월 21일,,29.24
08월 22일,,28.84
08월 23일,,28.63
08월 26일,,29.28
08월 27일,,28.83
08월 28일,,28.34
08월 29일,,28.92
08월 30일,,28.98
09월 03일,,27.79
09월 04일,,28.27
09월 05일,,28.98
09월 06일,,29.61
09월 09일,,29.73
09월 10일,,29.73
09월 11일,,29.77
09월 12일,,28.85
09월 13일,,29.81
09월 16일,,29.67
09월 17일,,29.08
09월 18일,,29.48
09월 19일,,29.50
09월 20일,,29.61
09월 23일,,30.71
09월 24일,,30.77
09월 25일,,30.64
09월 26일,,30.41
09월 27일,,30.54
09월 30일,,30.45
10월 01일,,30.83
10월 02일,,30.49
10월 03일,,29.76
10월 04일,,29.62
10월 07일,,29.64
10월 08일,,29.48
10월 09일,,29.35
10월 10일,,28.97
10월 11일,,29.37
10월 14일,,30.03
10월 15일,,29.72
10월 16일,,29.47
10월 17일,,29.62
10월 18일,,29.60
10월 21일,,28.37
10월 22일,,27.92
10월 23일,,28.18
10월 24일,,28.20
10월 25일,,27.05
10월 28일,,27.29
10월 29일,,26.86
10월 30일,,26.81
10월 31일,,27.22
11월 01일,,27.13
11월 04일,,26.95
11월 05일,,26.14
11월 06일,,25.77
11월 07일,,25.38
11월 08일,,25.78
11월 11일,,25.94
11월 12일,,25.90
11월 13일,,25.19
11월 14일,,25.29
11월 15일,,25.51
11월 18일,,26.71
11월 19일,,26.42
11월 20일,,26.98
11월 21일,,26.35
11월 22일,,26.76
11월 25일,,26.11
11월 26일,,26.40
11월 27일,,26.89
12월 02일,,27.24
12월 03일,,27.30
12월 04일,,26.71
12월 05일,,27.29
12월 06일,,26.93
12월 09일,,27.20
12월 10일,,27.74
12월 11일,,27.40
12월 12일,,28.01
12월 13일,,28.44
12월 16일,,30.10
12월 17일,,30.10
12월 18일,,30.44
12월 19일,,30.56
12월 20일,,30.30
12월 23일,,31.75
12월 24일,,31.97
