Date,inflation_USA,inflation_kor,inflation_china,unemployment_kor
2001-01-01,2.88,3.44,0.72,4.4
2001-01-02,2.883225806451613,3.4461290322580647,0.72,4.409677419354839
2001-01-03,2.8864516129032256,3.452258064516129,0.72,4.419354838709678
2001-01-04,2.8896774193548387,3.4583870967741936,0.72,4.429032258064517
2001-01-05,2.8929032258064513,3.464516129032258,0.72,4.4387096774193555
2001-01-06,2.8961290322580644,3.4706451612903226,0.72,4.448387096774194
2001-01-07,2.8993548387096775,3.476774193548387,0.72,4.458064516129032
2001-01-08,2.90258064516129,3.4829032258064516,0.72,4.467741935483871
2001-01-09,2.905806451612903,3.489032258064516,0.72,4.47741935483871
2001-01-10,2.9090322580645163,3.4951612903225806,0.72,4.487096774193549
2001-01-11,2.912258064516129,3.501290322580645,0.72,4.496774193548387
2001-01-12,2.915483870967742,3.5074193548387096,0.72,4.506451612903226
2001-01-13,2.9187096774193546,3.5135483870967743,0.72,4.516129032258065
2001-01-14,2.9219354838709677,3.5196774193548386,0.72,4.525806451612904
2001-01-15,2.9251612903225808,3.5258064516129033,0.72,4.5354838709677425
2001-01-16,2.9283870967741934,3.5319354838709676,0.72,4.545161290322581
2001-01-17,2.9316129032258065,3.5380645161290323,0.72,4.554838709677419
2001-01-18,2.934838709677419,3.5441935483870965,0.72,4.564516129032258
2001-01-19,2.938064516129032,3.5503225806451613,0.72,4.574193548387097
2001-01-20,2.9412903225806453,3.5564516129032255,0.72,4.583870967741936
2001-01-21,2.944516129032258,3.5625806451612902,0.72,4.593548387096774
2001-01-22,2.947741935483871,3.5687096774193545,0.72,4.603225806451613
2001-01-23,2.950967741935484,3.5748387096774192,0.72,4.612903225806452
2001-01-24,2.9541935483870967,3.580967741935484,0.72,4.622580645161291
2001-01-25,2.9574193548387098,3.587096774193548,0.72,4.6322580645161295
2001-01-26,2.9606451612903224,3.593225806451613,0.72,4.641935483870968
2001-01-27,2.9638709677419355,3.599354838709677,0.72,4.651612903225806
2001-01-28,2.9670967741935486,3.605483870967742,0.72,4.661290322580645
2001-01-29,2.970322580645161,3.611612903225806,0.72,4.670967741935484
2001-01-30,2.9735483870967743,3.617741935483871,0.72,4.680645161290323
2001-01-31,2.976774193548387,3.623870967741935,0.72,4.690322580645161
2001-02-01,2.98,3.63,0.72,4.7
2001-02-02,2.979285714285714,3.6435714285714287,0.72,4.696428571428571
2001-02-03,2.9785714285714286,3.657142857142857,0.72,4.692857142857143
2001-02-04,2.9778571428571428,3.6707142857142854,0.72,4.689285714285714
2001-02-05,2.9771428571428573,3.684285714285714,0.72,4.685714285714286
2001-02-06,2.9764285714285714,3.697857142857143,0.72,4.682142857142857
2001-02-07,2.9757142857142855,3.7114285714285713,0.72,4.678571428571429
2001-02-08,2.975,3.7249999999999996,0.72,4.675
2001-02-09,2.974285714285714,3.7385714285714284,0.72,4.671428571428572
